Model,80-200 characters,201-400 characters,401-600 characters
BERT model,0.16989727067475272,0.16984841493373745,0.17152609112618983
XLNET model,0.2180175533389101,0.22160356705177559,0.22182337059371773
Fine-tuned BERT model,0.16326846580694218,0.16477841670524346,0.16262321143314756
Fine-tuned XLNet model,0.22916555050576087,0.22777114731605064,0.2274884810392884
