Label,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Precision,Recall,F-measure
Murder,89,630,642,138,0.12175102599179206,0.3920704845814978,0.18580375782881003
Homicide,77,675,594,153,0.11475409836065574,0.3347826086956522,0.17092119866814648
Robbery,170,509,730,90,0.18888888888888888,0.6538461538461539,0.2931034482758621
Physical Injuries,106,783,501,109,0.17462932454695224,0.4930232558139535,0.2579075425790755
Rape,65,1036,211,187,0.23550724637681159,0.25793650793650796,0.24621212121212122
Theft,114,758,544,83,0.17325227963525835,0.5786802030456852,0.26666666666666666
Carnapping,121,414,897,67,0.11886051080550099,0.6436170212765957,0.20066334991708126
Others,44,976,342,137,0.11398963730569948,0.2430939226519337,0.15520282186948853
