Label,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Precision,Recall,F-measure
Murder,188,1272,0,39,1.0,0.8281938325991189,0.9060240963855422
Homicide,211,1260,9,19,0.9590909090909091,0.9173913043478261,0.9377777777777777
Robbery,214,1238,1,46,0.9953488372093023,0.823076923076923,0.9010526315789473
Physical Injuries,204,1266,18,11,0.918918918918919,0.9488372093023256,0.9336384439359267
Rape,220,1246,1,32,0.995475113122172,0.873015873015873,0.9302325581395349
Theft,194,1289,13,3,0.9371980676328503,0.9847715736040609,0.9603960396039604
Carnapping,176,1303,8,12,0.9565217391304348,0.9361702127659575,0.9462365591397849
Others,148,1318,0,33,1.0,0.8176795580110497,0.8996960486322187
