Label,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Precision,Recall,F-measure
Murder,211,1259,13,16,0.9419642857142857,0.9295154185022027,0.9356984478935698
Homicide,200,1263,6,30,0.970873786407767,0.8695652173913043,0.9174311926605504
Robbery,235,1217,22,25,0.914396887159533,0.9038461538461539,0.9090909090909091
Physical Injuries,204,1269,15,11,0.9315068493150684,0.9488372093023256,0.9400921658986175
Rape,248,1232,15,4,0.9429657794676806,0.9841269841269841,0.9631067961165048
Theft,196,1285,17,1,0.92018779342723,0.9949238578680203,0.9560975609756098
Carnapping,184,1306,5,4,0.9735449735449735,0.9787234042553191,0.9761273209549072
Others,125,1318,0,56,1.0,0.6906077348066298,0.8169934640522877
