Label,True Positives (TP),True Negatives (TN),False Positives (FP),False Negatives (FN),Precision,Recall,F-measure
Murder,227,1,1271,0,0.15153538050734314,1.0,0.26318840579710145
Homicide,150,334,935,80,0.1382488479262673,0.6521739130434783,0.22813688212927755
Robbery,0,1239,0,260,0.0,0.0,0.0
Physical Injuries,43,784,500,172,0.07918968692449356,0.2,0.11345646437994723
Rape,237,68,1179,15,0.1673728813559322,0.9404761904761905,0.28417266187050355
Theft,194,10,1292,3,0.13055181695827725,0.9847715736040609,0.23054070112893643
Carnapping,146,441,870,42,0.1437007874015748,0.776595744680851,0.24252491694352157
Others,166,97,1221,15,0.11968276856524873,0.9171270718232044,0.211734693877551
